Using cpu device
/opt/miniconda3/envs/cs224r/lib/python3.11/site-packages/stable_baselines3/common/policies.py:486: UserWarning: As shared layers in the mlp_extractor are removed since SB3 v1.8.0, you should now pass directly a dictionary and not a list (net_arch=dict(pi=..., vf=...) instead of net_arch=[dict(pi=..., vf=...)])
  warnings.warn(
Logging to ./runs/ppo_humanoid/20250523-012432/PPO_1
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 23.4     |
|    ep_rew_mean     | 105      |
| time/              |          |
|    fps             | 5314     |
|    iterations      | 1        |
|    time_elapsed    | 12       |
|    total_timesteps | 65536    |
---------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 22.9       |
|    ep_rew_mean          | 103        |
| time/                   |            |
|    fps                  | 1141       |
|    iterations           | 2          |
|    time_elapsed         | 114        |
|    total_timesteps      | 131072     |
| train/                  |            |
|    approx_kl            | 0.19925612 |
|    clip_fraction        | 0.664      |
|    clip_range           | 0.2        |
|    entropy_loss         | -24.3      |
|    explained_variance   | -0.312     |
|    learning_rate        | 0.0001     |
|    loss                 | -0.382     |
|    n_updates            | 100        |
|    policy_gradient_loss | -0.111     |
|    std                  | 1.02       |
|    value_loss           | 0.0707     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 27.4       |
|    ep_rew_mean          | 124        |
| time/                   |            |
|    fps                  | 925        |
|    iterations           | 3          |
|    time_elapsed         | 212        |
|    total_timesteps      | 196608     |
| train/                  |            |
|    approx_kl            | 0.25055528 |
|    clip_fraction        | 0.774      |
|    clip_range           | 0.2        |
|    entropy_loss         | -24.7      |
|    explained_variance   | 0.55       |
|    learning_rate        | 0.0001     |
|    loss                 | -0.38      |
|    n_updates            | 200        |
|    policy_gradient_loss | -0.128     |
|    std                  | 1.05       |
|    value_loss           | 0.0646     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 29.5       |
|    ep_rew_mean          | 134        |
| time/                   |            |
|    fps                  | 835        |
|    iterations           | 4          |
|    time_elapsed         | 313        |
|    total_timesteps      | 262144     |
| train/                  |            |
|    approx_kl            | 0.31647867 |
|    clip_fraction        | 0.815      |
|    clip_range           | 0.2        |
|    entropy_loss         | -25.4      |
|    explained_variance   | 0.632      |
|    learning_rate        | 0.0001     |
|    loss                 | -0.391     |
|    n_updates            | 300        |
|    policy_gradient_loss | -0.133     |
